task_id,lean_root,rel_path,thm_name,category,nesting_depth,transitive_dep_count,gt_proof_length,env,request_id,status,pr_url,api_url,failure_reason
133,clean,Clean/Utils/OfflineMemory.lean,MemoryAccessList.isConsistentOffline_iff_all_single_addresses,Applied verif.,4,38,2161,dev,135cf9c6-c97d-483e-a291-a6ff515a228a,completed,https://github.com/logiq-ai/verisoftbench-repos/pull/61,https://prover-dev.logicalintelligence.com/requests/135cf9c6-c97d-483e-a291-a6ff515a228a,
134,clean,Clean/Circuit/Theorems.lean,FlatOperation.proverEnvironment_usesLocalWitnesses,Applied verif.,7,57,1149,dev,cf873b3c-b053-4629-a8e2-f0a84ba9ddd3,completed,https://github.com/logiq-ai/verisoftbench-repos/pull/63,https://prover-dev.logicalintelligence.com/requests/cf873b3c-b053-4629-a8e2-f0a84ba9ddd3,
135,clean,Clean/Utils/SourceSinkPath.lean,Utils.StateTransition.acyclic_has_leaf_aux,Applied verif.,7,97,3150,dev,54ae2eec-b597-449e-8bb2-fbdfbf9265cf,completed,https://github.com/logiq-ai/verisoftbench-repos/pull/60,https://prover-dev.logicalintelligence.com/requests/54ae2eec-b597-449e-8bb2-fbdfbf9265cf,
136,clean,Clean/Utils/OfflineMemory.lean,MemoryAccessList.filterAddress_sorted_from_addressTimestampSorted,Applied verif.,2,23,1488,dev,b854933d-9b25-432a-aef9-a6285fa41ff8,failed,,https://prover-dev.logicalintelligence.com/requests/b854933d-9b25-432a-aef9-a6285fa41ff8,prove_timeout (prover could not find proof)
137,clean,Clean/Utils/OfflineMemory.lean,MemoryAccessList.isConsistentOnline_iff_isConsistentOffline,Applied verif.,6,94,893,dev,6c99d538-ea38-40c9-a673-481e0d8cb063,completed,https://github.com/logiq-ai/verisoftbench-repos/pull/65,https://prover-dev.logicalintelligence.com/requests/6c99d538-ea38-40c9-a673-481e0d8cb063,
138,clean,Clean/Utils/SourceSinkPath.lean,Utils.StateTransition.path_with_back_edge_creates_cycle,Applied verif.,5,71,1050,dev,af93c837-2b14-4d3a-a0f9-f33fc5782575,failed,,https://prover-dev.logicalintelligence.com/requests/af93c837-2b14-4d3a-a0f9-f33fc5782575,prove_timeout (prover could not find proof)
139,clean,Clean/Utils/Vector.lean,Vector.flatten_toChunks,Applied verif.,3,39,1349,dev,67516d9a-03bd-4b2b-9819-37b2a2a994a9,completed,https://github.com/logiq-ai/verisoftbench-repos/pull/88,https://prover-dev.logicalintelligence.com/requests/67516d9a-03bd-4b2b-9819-37b2a2a994a9,
140,clean,Clean/Tables/Fibonacci32.lean,Tables.Fibonacci32.fib_constraints,Applied verif.,17,142,787,,,not_submitted,,,broken_module (Fibonacci32)
141,clean,Clean/Utils/OfflineMemory.lean,MemoryAccessList.isConsistentOnline_iff_sorted_isConsistentOffline,Applied verif.,5,84,603,dev,b65c4406-77fa-4005-9190-884c6974e8f2,completed,https://github.com/logiq-ai/verisoftbench-repos/pull/64,https://prover-dev.logicalintelligence.com/requests/b65c4406-77fa-4005-9190-884c6974e8f2,
142,clean,Clean/Types/U32.lean,U32.value_injective_on_normalized,Applied verif.,7,58,431,dev,df61e3f9-4853-4053-a685-9bc8d3da13fc,completed,https://github.com/logiq-ai/verisoftbench-repos/pull/87,https://prover-dev.logicalintelligence.com/requests/df61e3f9-4853-4053-a685-9bc8d3da13fc,
143,clean,Clean/Utils/OfflineMemory.lean,MemoryAccessList.isConsistentSingleAddress_cons_forall,Applied verif.,2,16,1306,dev,3584f967-29e3-4de9-9905-32dc560b8ebc,completed,https://github.com/logiq-ai/verisoftbench-repos/pull/84,https://prover-dev.logicalintelligence.com/requests/3584f967-29e3-4de9-9905-32dc560b8ebc,
144,clean,Clean/Utils/SourceSinkPath.lean,Utils.StateTransition.acyclic_containsPath_nodup,Applied verif.,4,44,1332,dev,207aef80-ac44-45cf-b068-fbc9fb0759d4,completed,https://github.com/logiq-ai/verisoftbench-repos/pull/85,https://prover-dev.logicalintelligence.com/requests/207aef80-ac44-45cf-b068-fbc9fb0759d4,
145,clean,Clean/Gadgets/And/And8.lean,Gadgets.And.And8.completeness,Applied verif.,8,110,1117,dev,a3f32764-9014-4a97-8093-7427ca1e113d,completed,https://github.com/logiq-ai/verisoftbench-repos/pull/62,https://prover-dev.logicalintelligence.com/requests/a3f32764-9014-4a97-8093-7427ca1e113d,
146,clean,Clean/Utils/SourceSinkPath.lean,Utils.StateTransition.acyclic_run_has_path_from_source_to_sink,Applied verif.,8,122,835,dev,b3d7f393-d222-4cc4-a21f-0a23ea78ba87,completed,https://github.com/logiq-ai/verisoftbench-repos/pull/59,https://prover-dev.logicalintelligence.com/requests/b3d7f393-d222-4cc4-a21f-0a23ea78ba87,
147,clean,Clean/Circuit/Loops.lean,Circuit.FoldlM.operations_eq,Applied verif.,6,72,304,dev,3339ddbd-73d4-4586-b9e4-58d537271178,completed,https://github.com/logiq-ai/verisoftbench-repos/pull/78,https://prover-dev.logicalintelligence.com/requests/3339ddbd-73d4-4586-b9e4-58d537271178,
148,clean,Clean/Circuit/Theorems.lean,FlatOperation.localWitnesses_toFlat,Applied verif.,9,47,417,dev,08fb26fd-c7d9-4fd6-a7a1-a478c61c3fc9,completed,https://github.com/logiq-ai/verisoftbench-repos/pull/72,https://prover-dev.logicalintelligence.com/requests/08fb26fd-c7d9-4fd6-a7a1-a478c61c3fc9,
149,clean,Clean/Tables/KeccakInductive.lean,Tables.KeccakInductive.tableStatement,Applied verif.,24,288,439,dev,1fb1b2de-523c-4329-855b-f6fc64bc7b9a,failed,,https://prover-dev.logicalintelligence.com/requests/1fb1b2de-523c-4329-855b-f6fc64bc7b9a,prove_timeout (prover could not find proof)
150,clean,Clean/Circuit/Theorems.lean,Environment.usesLocalWitnessesFlat_iff_extends,Applied verif.,7,41,452,dev,7192d39f-e7ba-477e-a1fe-96de7a98822b,failed,,https://prover-dev.logicalintelligence.com/requests/7192d39f-e7ba-477e-a1fe-96de7a98822b,prove_timeout (prover could not find proof)
152,clean,Clean/Gadgets/Not/Not64.lean,Gadgets.Not.not_bytewise_value_spec,Applied verif.,7,70,792,dev,d599bb37-d2fd-465f-bb4f-5a9646468bbc,completed,https://github.com/logiq-ai/verisoftbench-repos/pull/92,https://prover-dev.logicalintelligence.com/requests/d599bb37-d2fd-465f-bb4f-5a9646468bbc,
153,clean,Clean/Gadgets/And/And8.lean,Gadgets.And.And8.soundness,Applied verif.,8,109,1178,dev,f3d6c6fc-0d00-466b-a801-86ef9f11f10a,completed,https://github.com/logiq-ai/verisoftbench-repos/pull/71,https://prover-dev.logicalintelligence.com/requests/f3d6c6fc-0d00-466b-a801-86ef9f11f10a,
154,clean,Clean/Utils/OfflineMemory.lean,MemoryAccessList.isConsistentOnline_filter_of_consistentOnline,Applied verif.,3,17,1061,dev,d9edb1b9-2c8b-4624-9707-9aa35e10c992,completed,https://github.com/logiq-ai/verisoftbench-repos/pull/90,https://prover-dev.logicalintelligence.com/requests/d9edb1b9-2c8b-4624-9707-9aa35e10c992,
155,clean,Clean/Circomlib/Gates.lean,Circomlib.MultiAND.localLength_eq,Applied verif.,9,87,1182,dev,cb0d81ca-5926-416a-8165-cb26ed8eb860,running,https://github.com/logiq-ai/verisoftbench-repos/pull/93,https://prover-dev.logicalintelligence.com/requests/cb0d81ca-5926-416a-8165-cb26ed8eb860,
156,clean,Clean/Circuit/Theorems.lean,FlatOperation.localLength_toFlat,Applied verif.,9,43,762,dev,55f93af1-bf26-449e-a0c5-d48748ed1860,completed,https://github.com/logiq-ai/verisoftbench-repos/pull/91,https://prover-dev.logicalintelligence.com/requests/55f93af1-bf26-449e-a0c5-d48748ed1860,
157,clean,Clean/Gadgets/Xor/Xor64.lean,Gadgets.Xor64.completeness,Applied verif.,8,99,514,dev,51a46c49-be26-457f-a131-e2e3367667a6,completed,https://github.com/logiq-ai/verisoftbench-repos/pull/68,https://prover-dev.logicalintelligence.com/requests/51a46c49-be26-457f-a131-e2e3367667a6,
158,clean,Clean/Circuit/Subcircuit.lean,Circuit.subcircuit_computableWitnesses,Applied verif.,12,91,231,dev,f83eb4da-b789-4908-b325-c518371e55ac,completed,https://github.com/logiq-ai/verisoftbench-repos/pull/73,https://prover-dev.logicalintelligence.com/requests/f83eb4da-b789-4908-b325-c518371e55ac,
159,clean,Clean/Gadgets/Xor/Xor64.lean,Gadgets.Xor64.soundness,Applied verif.,8,116,707,dev,69d52907-3017-4d5f-abd4-30864a3b2ded,completed,https://github.com/logiq-ai/verisoftbench-repos/pull/69,https://prover-dev.logicalintelligence.com/requests/69d52907-3017-4d5f-abd4-30864a3b2ded,
160,clean,Clean/Circuit/Theorems.lean,Circuit.ext,Applied verif.,5,35,56,dev,f1e4ad1d-f1b5-4da8-8c6c-b3d8d364e111,completed,https://github.com/logiq-ai/verisoftbench-repos/pull/77,https://prover-dev.logicalintelligence.com/requests/f1e4ad1d-f1b5-4da8-8c6c-b3d8d364e111,
161,clean,Clean/Circomlib/Gates.lean,Circomlib.MultiAND.subcircuitsConsistent,Applied verif.,9,92,1177,dev,17c10475-59aa-445c-a4cf-c0a6f794f609,failed,,https://prover-dev.logicalintelligence.com/requests/17c10475-59aa-445c-a4cf-c0a6f794f609,prove_timeout (prover could not find proof)
163,clean,Clean/Circuit/Loops.lean,Circuit.FoldlM.forAll_iff_const,Applied verif.,8,97,930,dev,3395a0fa-4573-4dd3-9755-844b7bc66ad5,completed,https://github.com/logiq-ai/verisoftbench-repos/pull/81,https://prover-dev.logicalintelligence.com/requests/3395a0fa-4573-4dd3-9755-844b7bc66ad5,
164,clean,Clean/Gadgets/Rotation32/Theorems.lean,Gadgets.Rotation32.Theorems.rotation32_bits_soundness,Applied verif.,3,43,771,dev,10605c4f-73f3-4d49-84da-b91f7bffb0e4,completed,https://github.com/logiq-ai/verisoftbench-repos/pull/70,https://prover-dev.logicalintelligence.com/requests/10605c4f-73f3-4d49-84da-b91f7bffb0e4,
165,clean,Clean/Circuit/Loops.lean,Circuit.FoldlM.operations_eq_const,Applied verif.,6,88,600,dev,7600f48c-132d-4695-9939-eb00ca86825c,completed,https://github.com/logiq-ai/verisoftbench-repos/pull/75,https://prover-dev.logicalintelligence.com/requests/7600f48c-132d-4695-9939-eb00ca86825c,
168,clean,Clean/Circuit/Theorems.lean,FlatOperation.onlyAccessedBelow_all,Applied verif.,4,37,700,dev,2ee4a58f-1377-41e3-8190-523817066958,completed,https://github.com/logiq-ai/verisoftbench-repos/pull/80,https://prover-dev.logicalintelligence.com/requests/2ee4a58f-1377-41e3-8190-523817066958,
169,clean,Clean/Gadgets/Addition8/Theorems.lean,Gadgets.Addition8.Theorems.soundness,Applied verif.,3,29,1613,dev,1fac427e-e23e-4e7a-b042-fa76803dbd4f,completed,https://github.com/logiq-ai/verisoftbench-repos/pull/79,https://prover-dev.logicalintelligence.com/requests/1fac427e-e23e-4e7a-b042-fa76803dbd4f,
171,clean,Clean/Circomlib/Gates.lean,Circomlib.MultiAND.main_output_binary_from_completeness,Applied verif.,9,165,322,dev,492e704c-bcea-4414-99e5-584f1afac04a,failed,,https://prover-dev.logicalintelligence.com/requests/492e704c-bcea-4414-99e5-584f1afac04a,prove_timeout (prover could not find proof)
176,clean,Clean/Circuit/Loops.lean,Circuit.FoldlM.output_eq,Applied verif.,8,60,197,dev,2de7597c-fcf8-4650-9185-8e8c4babfab6,completed,https://github.com/logiq-ai/verisoftbench-repos/pull/76,https://prover-dev.logicalintelligence.com/requests/2de7597c-fcf8-4650-9185-8e8c4babfab6,
178,clean,Clean/Gadgets/Xor/Xor32.lean,Gadgets.Xor32.completeness,Applied verif.,7,99,744,dev,b70f68e4-fcb8-454c-b9ee-96ee6928a291,completed,https://github.com/logiq-ai/verisoftbench-repos/pull/74,https://prover-dev.logicalintelligence.com/requests/b70f68e4-fcb8-454c-b9ee-96ee6928a291,
194,loom,Loom/MonadAlgebras/NonDetT'/Extract.lean,DemonicChoice.ExtractNonDet.extract_refines_wp,Framework,5,77,836,dev,a1c59365-8450-465c-afff-cc568f67dc93,completed,https://github.com/logiq-ai/verisoftbench-repos/pull/96,https://prover-dev.logicalintelligence.com/requests/a1c59365-8450-465c-afff-cc568f67dc93,
222,iris-lean,src/Iris/Algebra/OFE.lean,Iris.OFE.ContractiveHom.fixpoint_ind,Framework,5,47,689,prod,13f71435-1557-45a5-a171-89a3ce28766b,completed,https://github.com/logiq-ai/verisoftbench-repos/pull/7,https://alephprover.logicalintelligence.com/requests/13f71435-1557-45a5-a171-89a3ce28766b,
245,juvix-lean,Juvix/Core/Main/Semantics/Approx/Indexed.lean,Juvix.Core.Main.Value.Approx.Indexed.preserved_step,Semantics,4,68,8135,prod,f6f3d41c-6987-42e9-959f-89a3667161df,completed,https://github.com/logiq-ai/verisoftbench-repos/pull/12,https://alephprover.logicalintelligence.com/requests/f6f3d41c-6987-42e9-959f-89a3667161df,
246,juvix-lean,Juvix/Core/Main/Semantics/Approx/Indexed.lean,Juvix.Core.Main.Value.Approx.Indexed.refl,Semantics,7,80,1785,prod,9e6519bc-3e55-47c2-9c74-278aa47f159d,completed,https://github.com/logiq-ai/verisoftbench-repos/pull/9,https://alephprover.logicalintelligence.com/requests/9e6519bc-3e55-47c2-9c74-278aa47f159d,
247,juvix-lean,Juvix/Core/Main/Semantics/Eval/Indexed.lean,Juvix.Core.Main.Eval.toIndexed,Semantics,3,24,2044,prod,fdb35eed-8a02-4561-a628-6534f89ff5f4,completed,https://github.com/logiq-ai/verisoftbench-repos/pull/8,https://alephprover.logicalintelligence.com/requests/fdb35eed-8a02-4561-a628-6534f89ff5f4,
249,juvix-lean,Juvix/Core/Main/Semantics/Approx.lean,Juvix.Core.Main.Value.Approx.Indexed.trans,Semantics,3,33,2289,prod,830dd3de-733b-4688-bced-70d03a7f33ac,completed,https://github.com/logiq-ai/verisoftbench-repos/pull/11,https://alephprover.logicalintelligence.com/requests/830dd3de-733b-4688-bced-70d03a7f33ac,
250,juvix-lean,Juvix/Core/Main/Semantics/Approx/Indexed.lean,Juvix.Core.Main.Value.Approx.Indexed.anti_monotone,Semantics,3,34,1247,prod,4e9c4d66-c92b-444d-b250-5d745b7ed7c6,completed,https://github.com/logiq-ai/verisoftbench-repos/pull/10,https://alephprover.logicalintelligence.com/requests/4e9c4d66-c92b-444d-b250-5d745b7ed7c6,
265,LeanExprEvaluator,ExprEval/Basic.lean,eval_bool_completeness,Semantics,4,60,5157,prod,f98821fa-1e93-4bea-99ad-c8e20079243c,failed,,https://alephprover.logicalintelligence.com/requests/f98821fa-1e93-4bea-99ad-c8e20079243c,"mutual_block (theorem inside mutual, extraction fails)"
266,LeanExprEvaluator,ExprEval/Basic.lean,eval_completeness,Semantics,4,60,2957,prod,fa3ffdd1-cb6e-440f-8623-b210a1e07b2b,failed,,https://alephprover.logicalintelligence.com/requests/fa3ffdd1-cb6e-440f-8623-b210a1e07b2b,"mutual_block (theorem inside mutual, extraction fails)"
268,LeanExprEvaluator,ExprEval/Lemmas.lean,arstep_preserve_eval,Semantics,4,33,1809,prod,adabc7a5-dc52-4fd1-9541-05cb52dc2b37,failed,,https://alephprover.logicalintelligence.com/requests/adabc7a5-dc52-4fd1-9541-05cb52dc2b37,"mutual_block (theorem inside mutual, extraction fails)"
271,lean-formal-reasoning-program,Frap/Types.lean,TM.progress,Semantics,2,16,2904,prod,1dc8f7cf-5c79-41c6-8a66-9900b42c3ba0,completed,https://github.com/logiq-ai/verisoftbench-repos/pull/41,https://alephprover.logicalintelligence.com/requests/1dc8f7cf-5c79-41c6-8a66-9900b42c3ba0,
272,lean-formal-reasoning-program,Frap/Trans.lean,Imp.fold_constants_com_sound,Semantics,5,40,933,prod,81790ed3-4651-4896-805a-6922d0ce446c,completed,https://github.com/logiq-ai/verisoftbench-repos/pull/45,https://alephprover.logicalintelligence.com/requests/81790ed3-4651-4896-805a-6922d0ce446c,
273,lean-formal-reasoning-program,Frap/SmallStepImp.lean,CImp.par_loop_any_x,Semantics,3,27,683,prod,2f1c85e0-2dc9-4fcf-bc5f-f79c3f173f13,completed,https://github.com/logiq-ai/verisoftbench-repos/pull/44,https://alephprover.logicalintelligence.com/requests/2f1c85e0-2dc9-4fcf-bc5f-f79c3f173f13,
274,lean-formal-reasoning-program,Frap/Trans.lean,Imp.fold_constants_bexp_sound,Semantics,5,21,1089,prod,886183c9-2ccd-4c85-aba9-9bd034030377,completed,https://github.com/logiq-ai/verisoftbench-repos/pull/47,https://alephprover.logicalintelligence.com/requests/886183c9-2ccd-4c85-aba9-9bd034030377,
275,lean-formal-reasoning-program,Frap/SmallStep.lean,step_normalizing,Semantics,3,17,662,prod,2dc3a942-f77b-4b96-960d-231d6c9167a6,completed,https://github.com/logiq-ai/verisoftbench-repos/pull/48,https://alephprover.logicalintelligence.com/requests/2dc3a942-f77b-4b96-960d-231d6c9167a6,
277,lean-formal-reasoning-program,Frap/RedBlack.lean,Tree.balance_BST,Semantics,2,11,2838,prod,84301fc2-fed6-4a6f-a946-22ca6f48e836,completed,https://github.com/logiq-ai/verisoftbench-repos/pull/46,https://alephprover.logicalintelligence.com/requests/84301fc2-fed6-4a6f-a946-22ca6f48e836,
281,lean-formal-reasoning-program,Frap/Hoare.lean,Imp.Hoare.hoare_while,Semantics,4,15,1346,prod,ef454c82-3f1c-460c-bf01-abc02e762a58,completed,https://github.com/logiq-ai/verisoftbench-repos/pull/42,https://alephprover.logicalintelligence.com/requests/ef454c82-3f1c-460c-bf01-abc02e762a58,
356,LeroyCompilerVerificationCourse,LeroyCompilerVerificationCourse/Compil.lean,simulation_step,Compiler,4,64,4887,prod,076b89d3-2d5a-4502-aec5-f958ff018eda,completed,https://github.com/logiq-ai/verisoftbench-repos/pull/24,https://alephprover.logicalintelligence.com/requests/076b89d3-2d5a-4502-aec5-f958ff018eda,
357,LeroyCompilerVerificationCourse,LeroyCompilerVerificationCourse/Compil.lean,compile_com_correct_terminating,Compiler,5,48,3943,prod,c9e6bfde-cda6-4603-9af5-26e3ac7ea51d,completed,https://github.com/logiq-ai/verisoftbench-repos/pull/14,https://alephprover.logicalintelligence.com/requests/c9e6bfde-cda6-4603-9af5-26e3ac7ea51d,
359,LeroyCompilerVerificationCourse,LeroyCompilerVerificationCourse/Constprop.lean,cp_com_correct_terminating,Compiler,5,71,3070,prod,7ab220e2-4c72-4760-a04b-91e1d917e451,completed,https://github.com/logiq-ai/verisoftbench-repos/pull/31,https://alephprover.logicalintelligence.com/requests/7ab220e2-4c72-4760-a04b-91e1d917e451,
361,LeroyCompilerVerificationCourse,LeroyCompilerVerificationCourse/Compil.lean,compile_bexp_correct,Compiler,5,34,1920,prod,a4e14648-c6b9-48d0-b9e8-e6e4591dd86b,completed,https://github.com/logiq-ai/verisoftbench-repos/pull/19,https://alephprover.logicalintelligence.com/requests/a4e14648-c6b9-48d0-b9e8-e6e4591dd86b,
378,loom,Loom/MonadAlgebras/NonDetT'/Extract.lean,DemonicChoice.ExtractNonDet.extract_refines_wp_weak,Framework,5,82,745,dev,32f292c5-c963-418a-a654-b4fa341e9081,completed,https://github.com/logiq-ai/verisoftbench-repos/pull/98,https://prover-dev.logicalintelligence.com/requests/32f292c5-c963-418a-a654-b4fa341e9081,
381,loom,Loom/MonadAlgebras/WP/Basic.lean,TotalCorrectness.repeat_inv,Framework,4,31,1005,dev,24d29797-ce6c-4111-a0d4-4774fa7c021f,completed,https://github.com/logiq-ai/verisoftbench-repos/pull/97,https://prover-dev.logicalintelligence.com/requests/24d29797-ce6c-4111-a0d4-4774fa7c021f,
392,loom,Loom/MonadAlgebras/NonDetT'/Extract.lean,p_findNat_some,Framework,4,18,441,dev,2003efbc-d8f0-4fbd-891d-a2b86f48038b,completed,https://github.com/logiq-ai/verisoftbench-repos/pull/95,https://prover-dev.logicalintelligence.com/requests/2003efbc-d8f0-4fbd-891d-a2b86f48038b,
396,pcf-lean,PCF/Flat.lean,Flat.sup_some,Semantics,4,14,424,prod,8bbc4698-1e3c-4618-9a26-0e71d204d900,completed,https://github.com/logiq-ai/verisoftbench-repos/pull/43,https://alephprover.logicalintelligence.com/requests/8bbc4698-1e3c-4618-9a26-0e71d204d900,
444,loom,Loom/MonadAlgebras/WP/Gen.lean,triple_forIn_deacreasing,Framework,6,20,702,dev,e0bb68fa-84bf-4b51-b120-e95aa9b37dae,completed,https://github.com/logiq-ai/verisoftbench-repos/pull/94,https://prover-dev.logicalintelligence.com/requests/e0bb68fa-84bf-4b51-b120-e95aa9b37dae,
445,VCV-io,VCVio/OracleComp/Coercions/SubSpec.lean,OracleComp.evalDist_liftComp,Applied verif.,6,46,507,prod,e20fe51a-7084-4845-acdb-808a95b5a8f6,completed,https://github.com/logiq-ai/verisoftbench-repos/pull/22,https://alephprover.logicalintelligence.com/requests/e20fe51a-7084-4845-acdb-808a95b5a8f6,
446,VCV-io,VCVio/OracleComp/OracleComp.lean,OracleComp.pure_eq_bind_iff,Applied verif.,4,13,143,prod,3f8e896d-a601-47d9-853b-c9bea93905ea,completed,https://github.com/logiq-ai/verisoftbench-repos/pull/21,https://alephprover.logicalintelligence.com/requests/3f8e896d-a601-47d9-853b-c9bea93905ea,
447,VCV-io,VCVio/OracleComp/Constructions/UniformSelect.lean,OracleComp.evalDist_uniformSelectFinset,Applied verif.,7,71,871,prod,5ac3825c-2269-4624-abf1-c4fd7db285af,completed,https://github.com/logiq-ai/verisoftbench-repos/pull/34,https://alephprover.logicalintelligence.com/requests/5ac3825c-2269-4624-abf1-c4fd7db285af,
450,VCV-io,VCVio/OracleComp/DistSemantics/EvalDist.lean,OracleComp.probFailure_bind_eq_sub_mul,Applied verif.,5,56,1143,prod,b243999a-b2b5-4733-ac49-5c8b69cdca2a,completed,https://github.com/logiq-ai/verisoftbench-repos/pull/30,https://alephprover.logicalintelligence.com/requests/b243999a-b2b5-4733-ac49-5c8b69cdca2a,
451,VCV-io,ToMathlib/Control/Monad/Equiv.lean,BindEquiv.map_bind_inv,Applied verif.,2,7,739,prod,de7719a4-0f16-4c7d-989e-9b7dbe70e646,completed,https://github.com/logiq-ai/verisoftbench-repos/pull/15,https://alephprover.logicalintelligence.com/requests/de7719a4-0f16-4c7d-989e-9b7dbe70e646,
